nombre,marca,categoria,precio_orig,precio_actual,desc_corta,descripcion,imagen_url,url_detalle
ESPECIAL 2x1 GUILLAB: GUILLAB PERSEUS FOR MEN EDP 100 ML REGULAR + GUILLAB DRACO EDP 100 ML REGULAR,GUILLAB,,249.00,24.99,ESPECIAL 2x1 GUILLAB: GUILLAB PERSEUS FOR MEN EDP 100 ML REGULAR + GUILLAB DRACO EDP 100 ML REGULAR,,https://perfumedigital.es/catalog/drscoperso3.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38541
PACK 10 FRAGANCIAS VARIADAS DE LA MARCA TPF EDT 60 ML CADA UNA (600 ML EN TOTAL),TPF,,49.00,6.99,PACK 10 FRAGANCIAS VARIADAS DE LA MARCA TPF EDT 60 ML CADA UNA (600 ML EN TOTAL),,https://perfumedigital.es/catalog/lote10tpf232.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38612
XERJOFF ERBA PURA EDP 100 ML,XERJOFF,,490.00,142.99,XERJOFF ERBA PURA EDP 100 ML,,https://perfumedigital.es/catalog/erbap2ra2354.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38649
GUCCI RUSH EDT 75ML REGULAR,Gucci,,94.00,39.99,GUCCI RUSH EDT 75ML REGULAR,,https://perfumedigital.es/catalog/guccirus211.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38662
MY WAY LE PARFUM EDP 50 ML @ + REGALO CREMA GUILLAB GOLD ESENCE DIA 50 ML REGULAR DE REGALO,Giorgio Armani,,107.00,39.99,MY WAY LE PARFUM EDP 50 ML @ + REGALO CREMA GUILLAB GOLD ESENCE DIA 50 ML REGULAR DE REGALO,,https://perfumedigital.es/catalog/mywayparlo2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36426
OFERTA ESPECIAL GUILLAB ANDROMEDA EDP UNISEX 100 ML REGULAR + BIOTHERM BLUE PEPTIDES UPLIFT CREAM 15 ML @ + MAYBELLINE SUPER STAY MATTE INK LABIAL LIQUIDO 117 GROUND BREAKER 5 ML,GUILLAB,,249.00,29.99,OFERTA ESPECIAL GUILLAB ANDROMEDA EDP UNISEX 100 ML REGULAR + BIOTHERM BLUE PEPTIDES UPLIFT CREAM 15 ML @ + MAYBELLINE SUPER STAY MATTE INK LABIAL LIQUIDO 117 GROUND BREAKER 5 ML,,https://perfumedigital.es/catalog/ECIALANDROMEDA.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36569
LOTE 11 DE MUJER: BENETTON SISTERLAND PINK RASPBERRY EDT 80 ML @ + SHAKIRA DANCE EDT 80 ML @ + PLAYBOY PLAY IT WILD WOMAN EDT 50 ML @ + ANA ROSA AGUA DE FLORES EDT 100 ML,Victorio & Lucchino,,29.00,9.99,LOTE 11 DE MUJER: BENETTON SISTERLAND PINK RASPBERRY EDT 80 ML @ + SHAKIRA DANCE EDT 80 ML @ + PLAYBOY PLAY IT WILD WOMAN EDT 50 ML @ + ANA ROSA AGUA DE FLORES EDT 100 ML,,https://perfumedigital.es/catalog/lote11wv33.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36620
PACK 3 SETS POR EL PRECIO DE UNO: SET TOUCH ME EDT 100 ML + SET PRIORITE TOALLA + SET MINI BRITISH STERLING,CONCEPT V DESIGN,,39.00,7.99,PACK 3 SETS POR EL PRECIO DE UNO: SET TOUCH ME EDT 100 ML + SET PRIORITE TOALLA + SET MINI BRITISH STERLING,,https://perfumedigital.es/catalog/packsets112.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36658
BOSS BOTTLED MAN EDT 50 ML REGULAR (Sin caja),Hugo Boss,,70.00,19.99,BOSS BOTTLED MAN EDT 50 ML REGULAR (Sin caja),,https://perfumedigital.es/catalog/bossbtl23.jpg,https://perfumedigital.es/index.php?op=descripcion&id=36756
GUCCI BAMBOO EDP 75ML,Gucci,,102.00,29.99,GUCCI BAMBOO EDP 75ML,,https://perfumedigital.es/catalog/guccibms23.JPG,https://perfumedigital.es/index.php?op=descripcion&id=37044
